,Predict,Rating
0,3.8967646279069497,3.81
1,4.343455211674975,5.0
2,4.345919655786337,4.56
3,4.097907936196317,3.68
4,4.1639471271424915,4.4
5,4.122618115526406,4.11
6,4.091307491523283,4.15
7,3.9299970198215344,3.68
8,4.024064440608629,3.97
9,3.993737542928584,4.04
10,3.9890785208307546,3.85
11,3.927004059623779,3.84
12,4.114684459590432,4.15
13,4.110080728181774,4.34
14,4.048491167839287,3.93
15,4.444444381158912,4.14
16,4.0336251472969895,3.71
17,3.7775822756676893,3.93
18,4.026424480182805,3.69
19,4.138550760209843,3.81
20,4.0538753842298245,4.21
21,4.081966714522771,3.88
22,4.11625065232249,4.2
23,4.115079758426539,4.2
24,3.9576306282679927,4.1
25,4.1828400883141565,4.39
26,4.092111183302285,4.23
27,3.9280288208602783,3.98
28,4.462261065161765,4.49
29,4.041369238214276,4.27
30,4.096945928489302,4.09
31,4.02085104750053,4.21
32,3.968282588245716,4.38
33,4.04439013254355,4.01
34,4.1097784447188985,3.66
35,3.888305646397575,3.55
36,4.0818560126034455,4.2
37,3.999412497469087,3.56
38,4.00108043953031,4.18
39,4.031982821068168,3.75
40,4.148731202689416,4.29
41,4.18656557351447,4.73
42,4.061123618184457,4.41
43,3.978296217764438,3.38
44,4.010109224369252,4.15
45,3.9272628996094543,4.05
46,4.128043566087936,4.41
47,3.9699040978744238,4.01
48,4.05537199233019,4.6
49,4.148044034462246,4.26
50,4.183129287145933,4.26
51,4.0269979105060205,3.63
52,3.9128750534149788,4.23
53,4.090303511403784,3.92
54,4.03993225545144,4.47
55,4.091365118890536,4.11
56,3.9710171212765886,3.59
57,3.956140276118589,3.93
58,4.216955667316531,4.67
59,4.052437997713819,3.9
60,4.23543992261123,4.28
61,4.0884231553855965,4.39
62,3.9877921803432335,3.77
63,3.987001407090006,4.07
64,4.179708965143698,4.21
65,3.9212555502302853,4.17
66,4.0429878166233815,4.02
67,4.027759957926415,3.87
68,3.9810753872241302,4.15
69,3.8689148556272017,3.44
70,4.406116130443859,5.0
71,4.311925966529666,3.76
72,3.9184500671809523,3.87
73,4.079014830111348,4.1
74,3.963255965534572,3.84
75,4.360182301469152,4.62
76,4.025662460354224,3.94
